               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098178,            0.029015,            0.038601,             0.49741,            0.037879,             0.13748,            0.050987,            0.057361,            0.011507,             0.02682,              0.0793,              0.0023,              0.0023
                   1,            0.061641,            0.023831,            0.028463,             0.30725,             0.41352,             0.26212,             0.10236,              0.0522,           0.0068841,            0.021642,            0.057699,           0.0046988,           0.0046988
                   2,            0.052892,            0.020065,             0.02242,             0.29103,             0.54645,             0.36471,             0.16184,             0.04394,           0.0058553,            0.016144,            0.036096,           0.0070965,           0.0070965
                   3,            0.048664,            0.018712,            0.019139,             0.24864,             0.50378,             0.32951,             0.15437,            0.052933,           0.0078177,            0.015702,            0.014493,           0.0094929,           0.0094929
                   4,            0.047959,            0.018417,            0.018743,             0.18507,             0.34758,             0.24835,            0.083595,            0.050845,           0.0085583,            0.032565,           0.0099901,           0.0099901,           0.0099901
                   5,            0.045531,            0.018848,            0.019045,             0.11417,             0.15756,            0.078896,             0.02666,            0.059792,            0.012034,            0.047342,           0.0099901,           0.0099901,           0.0099901
                   6,            0.044732,            0.018961,            0.017977,             0.11449,             0.32053,              0.1342,            0.047669,            0.048909,            0.010566,            0.022472,           0.0099876,           0.0099876,           0.0099876
                   7,            0.043856,            0.017718,            0.016659,             0.11836,             0.25062,            0.091095,            0.031092,             0.04954,            0.019072,             0.02579,           0.0099851,           0.0099851,           0.0099851
                   8,            0.041175,            0.018373,            0.015994,             0.60201,             0.21825,              0.2978,             0.12828,            0.039646,            0.013496,            0.023035,           0.0099827,           0.0099827,           0.0099827
                   9,            0.040105,            0.017822,            0.015235,             0.25843,             0.50092,             0.29584,             0.11729,            0.043096,            0.010439,            0.047227,           0.0099802,           0.0099802,           0.0099802
                  10,            0.039968,             0.01771,             0.01532,             0.39332,             0.39466,             0.38589,             0.14937,            0.039802,           0.0080872,            0.020087,           0.0099777,           0.0099777,           0.0099777
                  11,             0.03861,            0.018291,            0.016304,             0.15316,             0.26181,             0.10244,             0.04555,            0.052719,            0.010251,            0.021931,           0.0099753,           0.0099753,           0.0099753
                  12,            0.039555,            0.017505,            0.014584,             0.27565,             0.60038,             0.42747,             0.18326,            0.037333,            0.008245,            0.031279,           0.0099728,           0.0099728,           0.0099728
                  13,             0.03796,             0.01751,            0.014307,             0.36142,              0.3934,             0.32881,             0.12796,            0.041917,           0.0078745,             0.01769,           0.0099703,           0.0099703,           0.0099703
                  14,            0.037114,            0.017462,               0.013,             0.40732,             0.42563,              0.4139,             0.15405,            0.042605,           0.0078263,            0.018077,           0.0099678,           0.0099678,           0.0099678
                  15,            0.037091,             0.01717,            0.014141,             0.25817,             0.48413,              0.3171,             0.15266,             0.03335,           0.0085895,            0.017488,           0.0099654,           0.0099654,           0.0099654
                  16,             0.03685,            0.017312,            0.012407,             0.37597,             0.39804,             0.40638,             0.18461,            0.035773,           0.0090187,            0.024055,           0.0099629,           0.0099629,           0.0099629
                  17,            0.034602,            0.016976,            0.011837,             0.35481,             0.56437,             0.40635,             0.17657,            0.035191,           0.0076988,            0.027969,           0.0099604,           0.0099604,           0.0099604
                  18,            0.034972,            0.016905,            0.011928,             0.41366,             0.56602,              0.5001,             0.22317,            0.041118,           0.0062687,            0.019041,           0.0099579,           0.0099579,           0.0099579
                  19,            0.033886,            0.016653,             0.01187,             0.51291,             0.52214,              0.5477,             0.25808,            0.034806,           0.0061536,            0.014065,           0.0099555,           0.0099555,           0.0099555
                  20,            0.034356,            0.016381,            0.011107,             0.45522,             0.63223,             0.58931,             0.27189,            0.034768,           0.0058942,            0.017431,            0.009953,            0.009953,            0.009953
                  21,            0.035415,            0.016125,            0.012066,             0.48676,             0.53955,             0.54421,             0.26344,            0.030496,           0.0067689,            0.013347,           0.0099505,           0.0099505,           0.0099505
                  22,            0.033272,            0.016674,            0.010394,             0.56021,             0.69315,              0.6092,             0.29257,            0.033808,           0.0061946,            0.014472,            0.009948,            0.009948,            0.009948
                  23,            0.034134,             0.01533,            0.010623,             0.64157,              0.5928,              0.5518,             0.23743,            0.036413,           0.0056412,             0.03246,           0.0099456,           0.0099456,           0.0099456
                  24,            0.034532,             0.01589,             0.01163,             0.46376,              0.6103,             0.47967,             0.19576,            0.038771,           0.0066204,            0.018581,           0.0099431,           0.0099431,           0.0099431
                  25,            0.034446,            0.016705,            0.011385,             0.32289,             0.49324,             0.41049,             0.18949,            0.041016,           0.0082703,            0.012627,           0.0099406,           0.0099406,           0.0099406
                  26,            0.032657,             0.01618,            0.011038,             0.54416,             0.62979,             0.58055,             0.27229,            0.030123,           0.0065687,            0.029791,           0.0099381,           0.0099381,           0.0099381
                  27,            0.031868,            0.015618,            0.010322,             0.45221,             0.54515,             0.53216,             0.26707,            0.029236,           0.0068474,            0.012083,           0.0099357,           0.0099357,           0.0099357
                  28,             0.03149,            0.015598,            0.010824,             0.51702,             0.60216,             0.62379,             0.29206,            0.032973,           0.0062153,             0.01166,           0.0099332,           0.0099332,           0.0099332
                  29,            0.033476,            0.015714,           0.0096203,             0.64054,             0.65626,             0.65998,             0.30604,            0.035154,           0.0055776,            0.012117,           0.0099307,           0.0099307,           0.0099307
                  30,            0.032599,            0.015622,           0.0094966,             0.59994,             0.64919,             0.60647,             0.24597,            0.036129,           0.0063248,            0.013911,           0.0099282,           0.0099282,           0.0099282
                  31,            0.031858,            0.015079,           0.0095906,             0.40446,               0.576,             0.47229,             0.23848,             0.03643,           0.0074167,            0.013806,           0.0099258,           0.0099258,           0.0099258
                  32,            0.031918,            0.015139,           0.0087726,             0.46327,             0.62383,             0.50747,               0.234,            0.039095,           0.0062535,            0.016756,           0.0099233,           0.0099233,           0.0099233
                  33,             0.03174,            0.015459,           0.0093688,             0.41607,             0.54383,             0.44984,             0.21529,              0.0334,           0.0074229,            0.013441,           0.0099208,           0.0099208,           0.0099208
                  34,            0.030596,            0.014999,           0.0089471,             0.57273,             0.68266,             0.64214,             0.31959,            0.029518,           0.0060635,            0.016635,           0.0099183,           0.0099183,           0.0099183
                  35,            0.032151,            0.014982,           0.0082969,             0.64522,             0.69075,             0.68086,             0.32864,            0.030799,           0.0059142,            0.015797,           0.0099159,           0.0099159,           0.0099159
                  36,            0.031454,            0.015151,           0.0077234,             0.52564,             0.70142,             0.58719,             0.27297,            0.035722,           0.0061076,            0.020558,           0.0099134,           0.0099134,           0.0099134
                  37,            0.030427,            0.015531,           0.0078985,             0.60988,             0.69119,             0.66988,             0.31164,            0.036822,           0.0058541,           0.0098757,           0.0099109,           0.0099109,           0.0099109
                  38,            0.029784,            0.014912,           0.0080155,             0.58997,             0.75803,             0.68633,             0.34461,            0.031984,           0.0056291,            0.010792,           0.0099084,           0.0099084,           0.0099084
                  39,            0.030955,            0.014889,           0.0082725,             0.43276,             0.65693,             0.55044,             0.25546,            0.035524,           0.0059118,             0.01745,            0.009906,            0.009906,            0.009906
                  40,            0.029881,            0.015068,           0.0091948,              0.5602,             0.76533,             0.67237,             0.33299,            0.033384,            0.006146,            0.012307,           0.0099035,           0.0099035,           0.0099035
                  41,            0.030656,            0.014915,           0.0089031,             0.55487,             0.58874,             0.57327,             0.27442,            0.032427,           0.0063963,            0.033142,            0.009901,            0.009901,            0.009901
                  42,            0.030517,            0.014619,           0.0075496,             0.58667,             0.69661,             0.67993,             0.33685,            0.030536,           0.0059638,            0.016859,           0.0098985,           0.0098985,           0.0098985
                  43,            0.029407,            0.014145,           0.0073166,             0.63132,             0.69057,             0.68033,             0.34948,            0.029397,            0.005909,           0.0095718,           0.0098961,           0.0098961,           0.0098961
                  44,            0.029704,            0.014419,           0.0084653,             0.53836,             0.60967,              0.5336,             0.26774,            0.030991,           0.0069158,            0.019056,           0.0098936,           0.0098936,           0.0098936
                  45,            0.029808,             0.01478,           0.0086789,             0.59439,             0.59926,             0.61348,              0.3062,            0.033705,           0.0059352,            0.018803,           0.0098911,           0.0098911,           0.0098911
                  46,            0.030112,            0.014951,           0.0077084,             0.48151,              0.6169,             0.52278,             0.24688,            0.031888,           0.0061319,            0.017315,           0.0098886,           0.0098886,           0.0098886
                  47,            0.028389,            0.014638,           0.0078236,              0.5695,             0.68253,             0.63621,             0.29498,            0.035475,           0.0061672,            0.036063,           0.0098861,           0.0098861,           0.0098861
                  48,            0.030178,            0.014498,           0.0082336,             0.63403,             0.64737,             0.65018,             0.32309,            0.034409,           0.0055583,            0.012312,           0.0098837,           0.0098837,           0.0098837
                  49,            0.029201,            0.014377,           0.0086535,             0.58916,             0.71843,             0.62761,             0.29659,            0.033217,           0.0062308,            0.013562,           0.0098812,           0.0098812,           0.0098812
